snippet_id,baseline,readability_score
18,stackoverflow,0.9585912823677063
18,chatgpt,0.8428369760513306
18,chatgpt2025,0.5073450803756714
18,deepseek,0.8537590503692627
18,Gemini,0.7818674445152283
19,stackoverflow,0.819564938545227
19,chatgpt,0.7897456288337708
19,chatgpt2025,0.6256024837493896
19,deepseek,0.6808261275291443
19,Gemini,0.7235099375247955
20,stackoverflow,0.7370837926864624
20,chatgpt,0.8470927476882935
20,chatgpt2025,0.7168387174606323
20,deepseek,0.8144946098327637
20,Gemini,0.8193833231925964
23,stackoverflow,0.8241274555524191
23,chatgpt,0.7876464426517487
23,chatgpt2025,0.8805126945177714
23,deepseek,0.8462992906570435
23,Gemini,0.7133800983428955
25,stackoverflow,0.8158745169639587
25,chatgpt,0.7244053483009338
25,chatgpt2025,0.8629522919654846
25,deepseek,0.7526828348636627
25,Gemini,0.607820987701416
26,stackoverflow,0.685586134592692
26,chatgpt,0.6523847579956055
26,chatgpt2025,0.7489012479782104
26,deepseek,0.4365737736225128
26,Gemini,0.7689952254295349
27,stackoverflow,0.6966077387332916
27,chatgpt,0.8230189085006714
27,chatgpt2025,0.7516880631446838
27,deepseek,0.618857204914093
27,Gemini,0.7437984943389893
28,stackoverflow,0.9591794610023499
28,chatgpt,0.7280279994010925
28,chatgpt2025,0.26897940039634705
28,deepseek,0.6113169689973196
28,Gemini,0.503452479839325
29,stackoverflow,0.8093027243247399
29,chatgpt,0.8878450691699982
29,chatgpt2025,0.8818926811218262
29,deepseek,0.8694004714488983
29,Gemini,0.8854162096977234
30,stackoverflow,0.6465423703193665
30,chatgpt,0.8146766424179077
30,chatgpt2025,0.9247745275497437
30,deepseek,0.7511458024382591
30,Gemini,0.9352832502788968
31,stackoverflow,0.9474787712097168
31,chatgpt,0.9271762371063232
31,chatgpt2025,0.8701176047325134
31,deepseek,0.9271762371063232
31,Gemini,0.9662182331085205
32,stackoverflow,0.8556680679321289
32,chatgpt,0.5781847536563873
32,chatgpt2025,0.6139552593231201
32,deepseek,0.7636748790740967
32,Gemini,0.45885996023813885
33,stackoverflow,0.6861723139882088
33,chatgpt,0.7853522896766663
33,chatgpt2025,0.6897941827774048
33,deepseek,0.6327197849750519
33,Gemini,0.6247259974479675
34,stackoverflow,0.8749666810035706
34,chatgpt,0.8977947235107422
34,chatgpt2025,0.7973571419715881
34,deepseek,0.8888748288154602
34,Gemini,0.7811602354049683
35,stackoverflow,0.5957268476486206
35,chatgpt,0.4691489338874817
35,chatgpt2025,
35,deepseek,0.574455976486206
35,Gemini,0.6086833477020264
36,stackoverflow,0.7992921471595764
36,chatgpt,0.8348605334758759
36,chatgpt2025,0.7506241003672282
36,deepseek,0.7817030429840088
36,Gemini,0.769784186567579
37,stackoverflow,0.8356860876083374
37,chatgpt,0.8933615684509277
37,chatgpt2025,0.9310271739959717
37,deepseek,0.9422418475151062
37,Gemini,0.9772430658340454
38,stackoverflow,0.6221279799938202
38,chatgpt,0.3838709890842438
38,chatgpt2025,0.7477511167526245
38,deepseek,0.656577467918396
38,Gemini,0.21799322962760925
39,stackoverflow,0.6968846321105957
39,chatgpt,0.3352329432964325
39,chatgpt2025,0.5558381080627441
39,deepseek,0.6158744692802429
39,Gemini,0.5735427588224411
40,stackoverflow,0.920362651348114
40,chatgpt,0.8255199591318766
40,chatgpt2025,0.7794154137372971
40,deepseek,0.7427282571792603
40,Gemini,0.7188942730426788
41,stackoverflow,0.3558463752269745
41,chatgpt,0.7253403663635254
41,chatgpt2025,0.5187176465988159
41,deepseek,0.6686518788337708
41,Gemini,0.5736388266086578
42,stackoverflow,0.7873510122299194
42,chatgpt,0.8561930358409882
42,chatgpt2025,0.7266204953193665
42,deepseek,0.7040207982063293
42,Gemini,0.7232075333595276
43,stackoverflow,0.7202749252319336
43,chatgpt,0.9116147458553314
43,chatgpt2025,0.9178541898727417
43,deepseek,0.927287369966507
43,Gemini,0.7854732275009155
44,stackoverflow,0.33637335896492004
44,chatgpt,0.5250257849693298
44,chatgpt2025,0.17347730696201324
44,deepseek,0.5508914589881897
44,Gemini,0.6581833958625793
45,stackoverflow,0.45447978377342224
45,chatgpt,0.9243377447128296
45,chatgpt2025,0.5708470344543457
45,deepseek,0.5087220072746277
45,Gemini,0.5704216361045837
46,stackoverflow,0.9765915870666504
46,chatgpt,0.9081781307856241
46,chatgpt2025,0.8861170411109924
46,deepseek,0.8857337832450867
46,Gemini,0.658565029501915
47,stackoverflow,0.7219462990760803
47,chatgpt,0.8377405405044556
47,chatgpt2025,0.7015515565872192
47,deepseek,0.7554523348808289
47,Gemini,0.6479297280311584
48,stackoverflow,0.8565148115158081
48,chatgpt,0.8975847661495209
48,chatgpt2025,0.9068182905515035
48,deepseek,0.8801656365394592
48,Gemini,0.9474840462207794
49,stackoverflow,0.5770173668861389
49,chatgpt,0.7295771241188049
49,chatgpt2025,0.7295771241188049
49,deepseek,0.4785972833633423
49,Gemini,0.5453668236732483
